
For Photo-ID:  65_01_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
65_01_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_02_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_03_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_04_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_05_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_06_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_07_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_08_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_10_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_11_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_12_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_13_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_14_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_15_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_16_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_18_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_09_20180803.jpg    0.00    0.00  0  0  0  0  0  0
65_17_20180803.jpg    0.00    0.00  0  0  0  0  0  0


Fixed Parameters for Cameras

65         IOP  0  0  0
DISRORTION    1  0  0  0  0  0  1
GPS OFFSET    1  1  1


Fixed Ground Coordinates
5         0  0  0
7         0  0  0
8         0  0  0
9         0  0  0
10        0  0  0
12        0  0  0
13        0  0  0
14        0  0  0
15        0  0  0
17        0  0  0
18        0  0  0
19        0  0  0
20        0  0  0
21        1  1  1
23        0  0  0
24        0  0  0
25        0  1  1
2         0  0  0
3         0  0  1
4         0  0  0
6         0  0  0
11        0  0  0
16        0  0  0
22        0  0  0
1         0  0  0
