
For Photo-ID:  65_01_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
14           1.48049    0.109348        14          2.834          1.891              0      1         17
15            3.2056   0.0757197        15          3.782          1.891              0      1         17
16          -5.03616    -2.07344        16              0          0.942              0      1         10
17          -2.61619    -2.00964        17          0.945          0.942              0      1         16
18         -0.422952    -1.93411        18          1.892          0.942              0      1         18
19            1.5473    -1.86159        19          2.834          0.942              0      1         18
20           3.33064    -1.79657        20          3.782          0.942              0      1         14
21          -5.09598    -4.45248        21              0              0              0      0          6
22           -2.6608    -4.30291        22          0.945              0              0      1         12
23         -0.415619    -4.10781        23          1.892              0              0      1         17
25           3.44168    -3.76425        25          3.782              0              0      1         10

Exterior Orientation Parameters: [0 , 0 , 0 , 1.25 , 1.2 , 3.5]



For Photo-ID:  65_06_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
7           -2.76537     2.84927         7          0.945          2.832              0      1         17
8         -0.0396886     2.57957         8          1.892          2.832              0      1         18
9            2.17018      2.3513         9          2.834          2.832              0      1         18
10           3.97569     2.16055        10          3.782          2.832              0      1         18
12           -2.7359   0.0894897        12          0.945          1.891              0      1         17
13         -0.218655   0.0813106        13          1.892          1.891              0      1         18
14           1.87027   0.0862487        14          2.834          1.891              0      1         17
16          -5.40464    -2.39627        16              0          0.942              0      1         10
17          -2.70689    -2.22602        17          0.945          0.942              0      1         16
18         -0.382171    -2.06207        18          1.892          0.942              0      1         18
19           1.60684    -1.90492        19          2.834          0.942              0      1         18
20           3.29452     -1.7569        20          3.782          0.942              0      1         14
22          -2.67113    -4.18231        22          0.945              0              0      1         12
23         -0.503009     -3.9288        23          1.892              0              0      1         17

Exterior Orientation Parameters: [-15.0332 , -15.8157 , -0.152521 , 1.0804 , 2.71889 , 3.27972]



For Photo-ID:  65_07_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
2           -2.70829     4.38567         2          0.945          3.778              0      1         12
3          -0.711764     3.97233         3          1.892          3.778              0      1         14
4           0.955996     3.61578         4          2.834          3.778              0      1         14
6           -5.19404     2.62069         6              0          2.832              0      1         12
7           -2.72932     2.35985         7          0.945          2.832              0      1         17
8          -0.666021     2.13328         8          1.892          2.832              0      1         18
9            1.05673     1.93865         9          2.834          2.832              0      1         18
10            2.5127      1.7753        10          3.782          2.832              0      1         18
11            -5.274    0.270049        11              0          1.891              0      1         10
12          -2.73612    0.221506        12          0.945          1.891              0      1         17
13         -0.618083    0.188389        13          1.892          1.891              0      1         18
15           2.66925    0.144354        15          3.782          1.891              0      1         17
17          -2.73782    -2.00463        17          0.945          0.942              0      1         16
18         -0.581574    -1.84634        18          1.892          0.942              0      1         18
19           1.24235    -1.70576        19          2.834          0.942              0      1         18
22          -2.72616    -4.26259        22          0.945              0              0      1         12
23         -0.540111    -3.93846        23          1.892              0              0      1         17
24           1.34026    -3.65414        24          2.834              0              0      1         16

Exterior Orientation Parameters: [0 , 0 , 0 , 0.8 , 1.2 , 3.5]



For Photo-ID:  65_08_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
3          0.0397183     4.83758         3          1.892          3.778              0      1         14
4            2.32203     4.66739         4          2.834          3.778              0      1         14
6           -4.66746     2.65404         6              0          2.832              0      1         12
7           -2.35384     2.56854         7          0.945          2.832              0      1         17
8         -0.0453416     2.46678         8          1.892          2.832              0      1         18
9            2.20959       2.356         9          2.834          2.832              0      1         18
10           4.38032     2.23849        10          3.782          2.832              0      1         18
11          -4.61111    0.353156        11              0          1.891              0      1         10
12          -2.37119    0.264946        12          0.945          1.891              0      1         17
13         -0.128853    0.179663        13          1.892          1.891              0      1         18
14           2.08076     0.10075        14          2.834          1.891              0      1         17
15           4.23737    0.025811        15          3.782          1.891              0      1         17
16          -4.52096    -1.80263        16              0          0.942              0      1         10
17          -2.38172    -1.90118        17          0.945          0.942              0      1         16
18         -0.216862    -1.99085        18          1.892          0.942              0      1         18
19           1.94632    -2.05779        19          2.834          0.942              0      1         18
20           4.07695    -2.11857        20          3.782          0.942              0      1         14
23         -0.287111     -4.0137        23          1.892              0              0      1         17
24           1.81853     -4.1006        24          2.834              0              0      1         16
25           3.90191    -4.15701        25          3.782              0              0      1         10

Exterior Orientation Parameters: [-5.73938 , -0.248099 , 2.05063 , 1.95759 , 2.19113 , 3.6972]



For Photo-ID:  65_10_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
1            4.25682     4.67879         1              0          3.778              0      1          7
2            4.08537     2.30928         2          0.945          3.778              0      1         12
3            3.88511   0.0417755         3          1.892          3.778              0      1         14
4               3.68     -2.0823         4          2.834          3.778              0      1         14
5              3.479    -4.05212         5          3.782          3.778              0      1         13
6            1.92209     4.75885         6              0          2.832              0      1         12
7            1.79774     2.38878         7          0.945          2.832              0      1         17
8             1.6796     0.11747         8          1.892          2.832              0      1         18
9            1.55503    -2.02158         9          2.834          2.832              0      1         18
10           1.43387    -4.02003        10          3.782          2.832              0      1         18
11          -0.39674     4.80453        11              0          1.891              0      1         10
12         -0.472444        2.45        12          0.945          1.891              0      1         17
13         -0.533361    0.192114        13          1.892          1.891              0      1         18
14         -0.591489    -1.94924        14          2.834          1.891              0      1         17
15         -0.645404    -3.97065        15          3.782          1.891              0      1         17
16          -2.66323     4.82579        16              0          0.942              0      1         10
17             -2.71     2.53208        17          0.945          0.942              0      1         16
18          -2.72854    0.291778        18          1.892          0.942              0      1         18
19          -2.73377    -1.85281        19          2.834          0.942              0      1         18
20          -2.72243    -3.86934        20          3.782          0.942              0      1         14
21          -4.81005     4.80758        21              0              0              0      0          6
22          -4.87795     2.58506        22          0.945              0              0      1         12
23          -4.87824    0.369669        23          1.892              0              0      1         17
24          -4.83458    -1.76256        24          2.834              0              0      1         16

