5,3.73E+00,3.78E+00,-7.08E-02,,"3.731135328,0.90108606018,1.8511589932,2.8010339963,3.7422959221,0.90892725171,1.8588605461,2.8062554595,3.7520655984,0.91454137562,1.8596674595,2.8078118825,3.7544680979,0,1.8642980884,2.8111736654,3.7628755375,0.89829592555,1.8428648416,2.7928032424,-0.036927916146,-0.037704361429,-0.024722332105,0.9263914178,-0.044038221723","3.7801397656,2.8180218203,2.8257925207,2.8332144474,2.8378518827,1.8678901457,1.8758730363,1.8838128654,1.8922797004,0.92066047041,0.92760553219,0.93553829291,0.94557055946,0,-0.0021390199929,-0.0019752230297,0,3.7594793917,3.7736433303,3.7823238561,2.8057675589,1.8634346772,0.91840024749,-0.00026178267339,3.751130948","-0.070838477818,0.026008316122,0.0059282538012,-0.023295585379,-0.044574905144,0.010208246675,0.0071618170061,-0.0096698096332,-0.020910207448,0.003877584251,0.003049069041,-0.0030509411619,-0.0098127723745,0,0.016047411487,0.006582607018,0,0.048121990404,0,-0.047649472361,0.054102199693,0.016369939657,-0.0091692255168,0.017342094476,0.072640804133",-
7,9.01E-01,2.82E+00,2.60E-02,,XA,YA,ZA,
8,1.85E+00,2.83E+00,5.93E-03,,matrix,matrix,matrix,
9,2.80E+00,2.83E+00,-2.33E-02,,,,,
10,3.74E+00,2.84E+00,-4.46E-02,,,,,
12,9.09E-01,1.87E+00,1.02E-02,,,,,
13,1.86E+00,1.88E+00,7.16E-03,,,,,
14,2.81E+00,1.88E+00,-9.67E-03,,,,,
15,3.75E+00,1.89E+00,-2.09E-02,,,,,
17,9.15E-01,9.21E-01,3.88E-03,,,,,
18,1.86E+00,9.28E-01,3.05E-03,,,,,
19,2.81E+00,9.36E-01,-3.05E-03,,,,,
20,3.75E+00,9.46E-01,-9.81E-03,,,,,
21,0.00E+00,0.00E+00,0.00E+00,,,,,
23,1.86E+00,-2.14E-03,1.60E-02,,,,,
24,2.81E+00,-1.98E-03,6.58E-03,,,,,
25,3.76E+00,0.00E+00,0.00E+00,,,,,
2,8.98E-01,3.76E+00,4.81E-02,,,,,
3,1.84E+00,3.77E+00,0.00E+00,,,,,
4,2.79E+00,3.78E+00,-4.76E-02,,,,,
6,-3.69E-02,2.81E+00,5.41E-02,,,,,
11,-3.77E-02,1.86E+00,1.64E-02,,,,,
16,-2.47E-02,9.18E-01,-9.17E-03,,,,,
22,9.26E-01,-2.62E-04,1.73E-02,,,,,
1,-4.40E-02,3.75E+00,7.26E-02,,,,,
