1	  2939.68037	   127.34247
2	  2838.29680	   762.89498
3	  2737.05936	  1335.26027
4	  2642.94977	  1843.05479
5	  2559.49315	  2294.69863
6	  2367.71233	    34.89954
7	  2292.79909	   716.21918
8	  2224.93607	  1327.13242
9	  2160.73059	  1868.68493
10	  2104.40183	  2348.54338
12	  1678.81279	   666.49315
13	  1646.64840	  1316.77626
14	  1617.20091	  1892.72603
15	  1590.38356	  2406.67123
17	   992.38710	   610.90323
18	   998.22581	  1298.93548
19	  1005.12903	  1912.90323
20	  1012.76703	  2464.20789
22	   239.09677	   558.80645
23	   279.83871	  1283.77419
24	   323.45161	  1937.00000
25	   371.61290	  2520.35484
