1	   227.91781	    13.94521
2	   896.16438	    39.17352
3	  1554.01826	    83.24201
4	  2175.35616	   132.84932
5	  2754.04110	   187.05023
6	   320.01370	   694.83562
7	   936.21918	   716.93151
8	  1537.20548	   745.26027
9	  2110.00457	   771.18721
10	  2650.72603	   797.95890
11	   410.93907	  1268.69892
12	   972.91039	  1286.08602
13	  1521.94265	  1303.77778
14	  2051.15412	  1315.94265
15	  2554.92473	  1326.99283
16	   487.03943	  1755.82796
17	  1002.01075	  1768.89247
18	  1507.95699	  1778.99283
19	  2000.03226	  1784.93548
20	  2469.94265	  1784.71326
21	   550.98925	  2172.53405
22	  1026.56272	  2182.91039
23	  1497.94265	  2191.75986
24	  1956.88172	  2190.92473
25	  2398.77778	  2185.99283
